model_name,model_type,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae,optimizer,scheduler,n_features,epochs,early_stop_epoch,best_epoch,min_val_loss,timestamp
dense_adamw_plateau,dense,137664.25,0.8396015821582077,84385.445,136158.6,0.8494186401367188,85274.26,adamw,plateau,95,36,36,36,0.15633169843292818,2024-12-14 22:58:57.789299
dense_adam_plateau,dense,136027.45,0.8433931149477734,83872.71,136455.75,0.8487606644630432,85064.29,adam,plateau,95,60,60,60,0.15172485894546275,2024-12-14 22:58:57.789299
residual_adam_plateau,residual,135380.05,0.8448802415916916,84430.24,136674.86,0.8482745885848999,86018.03,adam,plateau,95,46,46,46,0.15169762990823607,2024-12-14 22:58:57.788798
residual_adamw_plateau,residual,136180.53,0.8430404389939282,84369.586,137820.67,0.8457199335098267,86711.34,adamw,plateau,95,49,49,49,0.15362781384369223,2024-12-14 22:58:57.789299
residual_adam_cosine,residual,138273.08,0.838179691835691,87408.15,138365.36,0.8444980382919312,88478.7,adam,cosine,95,30,30,30,0.15651372196834262,2024-12-14 22:58:57.788798
pyramid_adamw_plateau,pyramid,139107.8,0.8362200624098319,85576.414,138691.45,0.8437641859054565,86608.05,adamw,plateau,95,31,31,31,0.15965117325143116,2024-12-14 22:58:57.789299
pyramid_adam_plateau,pyramid,138408.61,0.8378623159526452,85178.805,138913.88,0.8432626724243164,86665.94,adam,plateau,95,35,35,35,0.15718623923092354,2024-12-14 22:58:57.789299
residual_adamw_cosine,residual,139614.66,0.8350244016216831,86200.73,139370.88,0.8422297239303589,88842.0,adamw,cosine,95,44,44,44,0.1551313356291957,2024-12-14 22:58:57.789299
deep_adamw_plateau,deep,139591.2,0.8350798137262886,88122.31,139836.58,0.8411735892295837,88709.945,adamw,plateau,95,36,36,36,0.15495450531200664,2024-12-14 22:58:57.788798
deep_adamw_cosine,deep,140829.53,0.8321407602957185,86260.38,139844.55,0.8411555290222168,86717.1,adamw,cosine,95,30,30,30,0.16071224717832194,2024-12-14 22:58:57.788798
wide_adam_plateau,wide,137288.5,0.8404759918829582,83294.86,139902.66,0.8410234451293945,86065.15,adam,plateau,95,37,37,37,0.15497079494341118,2024-12-14 22:58:57.789299
wide_adamw_plateau,wide,138724.81,0.8371206509008228,84218.63,140395.52,0.8399013876914978,85676.13,adamw,plateau,95,44,44,44,0.15947086825603393,2024-12-14 22:58:57.789299
deep_adam_plateau,deep,139235.77,0.8359186036359303,85581.08,140937.98,0.838661789894104,87434.7,adam,plateau,95,56,56,56,0.15817241834976326,2024-12-14 22:58:57.788798
wide_adam_cosine,wide,140297.8,0.8334059407938255,86657.33,141661.53,0.8370009660720825,88212.555,adam,cosine,95,40,40,40,0.16337795197600272,2024-12-14 22:58:57.789299
deep_adam_cosine,deep,142584.16,0.8279319311668709,92348.78,142206.5,0.8357445001602173,92723.375,adam,cosine,95,32,32,32,0.16411336380534056,2024-12-14 22:58:57.788798
base_adamw_plateau,base,141498.83,0.8305414675424077,90342.586,142585.94,0.8348667621612549,91550.2,adamw,plateau,95,44,44,44,0.1635661103376528,2024-12-14 22:58:57.788798
dense_adam_cosine,dense,143599.66,0.8254722109675082,89446.664,142658.22,0.834699273109436,90130.086,adam,cosine,95,27,27,27,0.16554121117039425,2024-12-14 22:58:57.789299
pyramid_adamw_cosine,pyramid,141788.11,0.8298478932079303,87236.97,143689.16,0.8323014974594116,89348.664,adamw,cosine,95,27,27,27,0.16026947952625228,2024-12-14 22:58:57.789299
base_adam_plateau,base,142851.34,0.8272864512723772,91028.375,143930.58,0.8317375183105469,92414.07,adam,plateau,95,31,31,31,0.16721763728958805,2024-12-14 22:58:57.788798
base_adamw_cosine,base,145475.97,0.820881565420363,91218.09,144201.34,0.8311038613319397,91676.19,adamw,cosine,95,21,21,21,0.17368633187398677,2024-12-14 22:58:57.788798
dense_adamw_cosine,dense,144381.62,0.8235662578066334,91389.93,144359.56,0.830733060836792,91418.016,adamw,cosine,95,20,20,20,0.17220402374500182,2024-12-14 22:58:57.789299
pyramid_adam_cosine,pyramid,141966.64,0.82941911626393,87790.61,145101.02,0.8289898037910461,89974.13,adam,cosine,95,31,31,31,0.16213698255397924,2024-12-14 22:58:57.789299
wide_adamw_cosine,wide,145753.77,0.8201968250223702,92204.93,146446.81,0.8258028626441956,93023.77,adamw,cosine,95,18,18,18,0.1720331295234401,2024-12-14 22:58:57.789299
base_adam_cosine,base,145295.34,0.8213261245901242,90820.664,147260.1,0.8238627314567566,91876.83,adam,cosine,95,19,19,19,0.17125629664557737,2024-12-14 22:58:57.788798
