model_name,model_type,val_rmse,val_r2,val_mae,test_rmse,test_r2,test_mae,optimizer,scheduler,n_features,epochs,early_stop_epoch,best_epoch,min_val_loss,timestamp
deep_adam_plateau,deep,155152.89,0.7962594165783564,98546.44,157044.25,0.7996796369552612,100390.266,adam,plateau,10,66,66,66,0.1955356181758206,2024-12-14 22:25:33.195439
pyramid_adam_cosine,pyramid,161081.19,0.780392392907838,101304.43,159678.22,0.7929036021232605,101649.7,adam,cosine,10,39,39,39,0.2112101744406107,2024-12-14 22:25:33.195439
pyramid_adamw_plateau,pyramid,160048.95,0.7831979107683322,99769.93,159743.84,0.792733371257782,100781.6,adamw,plateau,10,45,45,45,0.20843889800513662,2024-12-14 22:25:33.195439
pyramid_adam_plateau,pyramid,159049.17,0.785898086879774,100731.96,160970.83,0.7895371913909912,101925.57,adam,plateau,10,42,42,42,0.2064769447576709,2024-12-14 22:25:33.195439
wide_adamw_cosine,wide,159630.9,0.7843290117844419,100940.96,161504.89,0.7881382703781128,102395.375,adamw,cosine,10,75,75,75,0.2090958711577625,2024-12-14 22:25:33.195439
deep_adamw_cosine,deep,160337.86,0.7824145428368326,101951.1,161529.27,0.7880743741989136,103095.766,adamw,cosine,10,48,48,48,0.20907975111792726,2024-12-14 22:25:33.195439
pyramid_adamw_cosine,pyramid,164058.81,0.7721983486621258,102979.016,161693.88,0.7876421809196472,103536.81,adamw,cosine,10,36,36,36,0.2155104855756934,2024-12-14 22:25:33.195439
residual_adamw_cosine,residual,159391.9,0.7849743709810754,101250.67,161769.53,0.7874433994293213,104096.36,adamw,cosine,10,100,100,100,0.2109350908456779,2024-12-14 22:25:33.195439
wide_adam_plateau,wide,160258.44,0.7826300502295807,102402.26,161829.4,0.7872860431671143,103354.99,adam,plateau,10,59,59,59,0.21095106694393043,2024-12-14 22:25:33.195439
residual_adamw_plateau,residual,160724.98,0.781362563238934,101845.42,161950.95,0.7869663834571838,104551.22,adamw,plateau,10,67,67,67,0.21407936878684092,2024-12-14 22:25:33.195439
wide_adamw_plateau,wide,160450.16,0.7821096363020004,101106.54,162008.78,0.7868142127990723,102310.984,adamw,plateau,10,67,67,67,0.20938818134912632,2024-12-14 22:25:33.195439
wide_adam_cosine,wide,162607.12,0.7762119420022763,103074.42,162852.34,0.7845883369445801,103443.38,adam,cosine,10,55,55,55,0.2146196504373376,2024-12-14 22:25:33.195439
residual_adam_cosine,residual,161900.19,0.7781535853313899,102976.89,163773.56,0.7821443676948547,105580.84,adam,cosine,10,77,77,77,0.21720889630477602,2024-12-14 22:25:33.195439
dense_adamw_plateau,dense,162851.33,0.7755392646152025,102851.36,164859.72,0.779245138168335,105902.84,adamw,plateau,10,78,78,78,0.21762988207543768,2024-12-14 22:25:33.195439
deep_adam_cosine,deep,162388.69,0.7768128191266019,105791.125,164956.03,0.7789871692657471,107500.445,adam,cosine,10,42,42,42,0.21149840949148666,2024-12-14 22:25:33.195439
deep_adamw_plateau,deep,162573.56,0.7763043508203289,103520.66,164962.52,0.7789697647094727,105185.57,adamw,plateau,10,33,33,33,0.21543883214273105,2024-12-14 22:25:33.195439
residual_adam_plateau,residual,162704.75,0.775943157845896,103295.375,165090.06,0.778627872467041,106111.38,adam,plateau,10,65,65,65,0.21924854102658062,2024-12-14 22:25:33.195439
dense_adam_cosine,dense,163765.88,0.7730111411565412,103937.41,167455.64,0.7722383141517639,107554.51,adam,cosine,10,76,76,76,0.21584222320376373,2024-12-14 22:25:33.195439
base_adam_cosine,base,164540.5,0.7708587105323772,107235.6,168084.56,0.770524263381958,110369.84,adam,cosine,10,63,63,63,0.22458229988086514,2024-12-14 22:25:33.194939
base_adam_plateau,base,166838.27,0.7644142061307954,108282.87,169990.72,0.7652900218963623,111009.49,adam,plateau,10,60,60,60,0.22671151468303147,2024-12-14 22:25:33.194939
base_adamw_plateau,base,166887.39,0.7642754351521968,109363.08,170157.42,0.7648294568061829,111770.51,adamw,plateau,10,64,64,64,0.23084509768864003,2024-12-14 22:25:33.194939
dense_adam_plateau,dense,166172.39,0.7662909479287232,105108.28,170335.56,0.7643368244171143,109102.88,adam,plateau,10,55,55,55,0.22140161524095187,2024-12-14 22:25:33.195439
dense_adamw_cosine,dense,166829.36,0.7644393361719328,106247.195,171069.27,0.7623022794723511,110260.29,adamw,cosine,10,54,54,54,0.22325300296268813,2024-12-14 22:25:33.195439
base_adamw_cosine,base,172907.55,0.7469620611235569,114626.695,176455.08,0.7470996379852295,117825.58,adamw,cosine,10,30,30,30,0.2442692463899531,2024-12-14 22:25:33.194939
